يجري طفل
عندما كنت
كنت اضحك
اضحك في
في ما
ما يعتقد
يعتقد الجميع
الجميع امر
امر محزن
محزن للغايه
اكتب الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز حزينه
حزينه وكيف
وكيف يمكن
يمكن التغلب
التغلب علي
علي 😰😖
ما للقول
للقول بانفسهم
بانفسهم عند
عند التعامل
التعامل مع
مع الناس
اينتويتيفيس الانطواء
الانطواء دائما
دائما اشعر
اشعر قليلا
قليلا فقط
فقط لا
لا هم؟
هنا هو
هو صوره
صوره التي
التي تصور
تصور الاعمال
الاعمال الداخليه
الداخليه للعقل
للعقل متوسط
اﻻنطوائيه بديهيه
ليس لديك
لديك اي
اي فكره
فكره عن
عن كيفيه
كيفيه العديد
العديد من
من الحسابات
الحسابات العمليات
العمليات اثناء
اثناء تلك
تلك اللحظه
اللحظه طفيف
طفيف كان
كان يتردد
يتردد قبل
قبل القيام
القيام سميه
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
اكتب الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز حزينه
حزينه وكيف
وكيف يمكن
يمكن التغلب
التغلب علي
علي 😰😖
يجدون صعوبه
صعوبه في
في انجاز
انجاز المهام
المهام بعد
بعد انهم
انهم الحصول
الحصول علي
علي تمرير
تمرير الجزء
الجزء الصعب
الصعب لماذا؟
لماذا؟ نحن
نحن بحاجه
بحاجه الي
الي تحد
تحد طوال
طوال الطريق
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
عند احضار
احضار محاضر
محاضر جدل
جدل مع
مع دقائق
دقائق فقط
فقط للذهاب
للذهاب حسن
حسن الانتقال
المعلومات نموذجي
نموذجي يبتسم
يبتسم او
او يضحك
يضحك لانك
لانك لا
لا تعرف
تعرف ما
ما هي
هي العاطفه
العاطفه كنت
كنت من
من المفترض
المفترض ان
ان يكون
يكون الاعراب
الاعراب عن
عن علي
اﻻنطوائيه بديهيه
هذا كيف
كيف في
في الصوت
الصوت بالنسبه
بالنسبه لي
لي 😳👂
😳👂 وانا
وانا مثل
مثل الحصول
الحصول علي
علي النقطه
النقطه 😤
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
احيانا سوف
سوف اطرح
اطرح سؤالا
سؤالا يبدو
يبدو غير
غير ضار
ضار لكن
لكن ثق
ثق بي
بي انت
انت يجري
يجري اختباره
اختباره والحكم
والحكم علي
علي اساس
الا اذا
اذا كنت
كنت نوعا
نوعا من
من شيطان
شيطان او
او بصراحه
بصراحه لا
لا استطيع
استطيع ان
ان اري
اري لك
لك الاساءه
الاساءه مع
مع الكلمات
الكلمات وهو
وهو العصي
العصي جميع
لن الاضطلاع
الاضطلاع بدور
بدور كزعيم
كزعيم ما
ما لم
لم انه
انه يشعر
يشعر وكانه
وكانه الزعيم
الزعيم الحالي
الحالي ليس
ليس المختصه
المختصه ما
ما يكفي
لم نحصل
نحصل علي
علي وحيدا
وحيدا للشعب
للشعب محادثه
محادثه جيده
جيده فقط
في مكان
مكان العمل
العمل عن
عن طريق
تعرف انت
انت عند
عند التفكير
التفكير في
في الفكره
الفكره الاكثر
الاكثر بارعه
بارعه وننسي
وننسي انه
انه عند
عند محاوله
محاوله الكتابه
الكتابه عنها
عنها او
او ريكو
اتمني ملابس
ملابس التجاعيد
التجاعيد كان
كان اكثر
اكثر قبولا
قبولا هذا
هذا كل
كل شيء
شيء تبحث
تبحث المظهر
المظهر وقتا
وقتا طويلا
طويلا جدا
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
اليكم قصه
قصه حب
حب الخيال
الخيال العلمي
العلمي بين
بين ولا
ولا غرابه
غرابه في
في ذلك
ذلك قصه
قصه في
في رؤوسهم
روح الدعابه
الدعابه التي
التي 😂😏
😂😏 كل
كل مايرزبريغز
مايرزبريغز نوع
نوع يمتلك
الاوضاع غير
غير مريحه
مريحه اكثر
اكثر لكل
لكل مايرزبريغز
مايرزبريغز اكتب
اكتب 😁😓
حصلت للتو
للتو علي
علي بلدي
بلدي النتيجه
النتيجه التراسل
التراسل الفوري
الفوري الحزب
الحزب التركماني
التركماني الوطني
الوطني العراقي
العراقي وغريبه
وغريبه لمعرفه
لمعرفه كم
كم يمكن
يمكن ان
ان تتصل
تتصل هذا
هذا الاختبار
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
كيف يستجيب
يستجيب كل
كل نوع
نوع مايرزبريغز
مايرزبريغز للطبيعه
للطبيعه 🌺🌻
انت تعرف
تعرف انك
انك عندما
عندما كنت
كنت اضحك
اضحك في
في ما
ما يعتقد
يعتقد الجميع
الجميع امر
امر محزن
محزن للغايه
نظره عامه
عامه حول
اطلب اي
اي شيء؟
الشعور بالرضا
ملاحظتي لهذا
لهذا اليوم
تكون اكثر
اكثر بخيبه
بخيبه امل
امل ازاء
ازاء الحقيقه
الحقيقه ان
ان انه
انه اخطا
اخطا في
في الحكم
الحكم علي
علي الطابع
الطابع الخاص
الخاص بك
بك من
من حقيقه
حقيقه ان
ان تبين
تبين تي
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
الطرق التي
التي يستجيب
يستجيب كل
كل نوع
نوع مايرزبريغز
مايرزبريغز للسلطه
للسلطه 😏👮
هناك العديد
العديد من
من الطرق
الطرق لاغواء
لاغواء امراه
امراه ولكن
ولكن اذا
اذا كان
كان 🍎
🍎 👁
👁 هذا
هذا هو
هو افضل
افضل استراتيجيه
😱 كابوس
كابوس ل
ل الذين
الذين لديهم
لديهم صعوبه
صعوبه في
في الخروج
الخروج بما
بما تقوله
للثقه بهم
بهم الافكار
الافكار والاراء
والاراء اعلاه
اعلاه الاخرين
سوف انشاء
انشاء نظام
نظام مثالي
مثالي للانتقام
للانتقام وتقرر
وتقرر انه
انه لا
لا يعطي
يعطي ما
ما يكفي
يكفي الملاعين
الملاعين تمر
تمر مع
مع انا
انا كنت
كنت مصمم
مصمم الحيوان
الحيوان روح
روح بلادي
بلادي هو
هو غاضب
غاضب 😾
روح الدعابه
الدعابه التي
التي 😂😏
😂😏 كل
كل مايرزبريغز
مايرزبريغز نوع
نوع يمتلك
اينتروفيرتس بعد
بعد التنشئه
التنشئه الاجتماعيه
الاجتماعيه كثيرا
تعرف انت
انت عند
عند الاشخاص
الاشخاص الذين
الذين تعرفهم
تعرفهم يقولون
يقولون لك
لك لتصفيه
لتصفيه الكلمات
الكلمات الخاصه
الخاصه بك
بك باستمرار
دائما سيعيش
سيعيش شيئا
شيئا في
في عقلها
عقلها مكثف
مكثف اكثر
اكثر مما
مما حدث
حدث في
في الواقع
انا واثق
واثق من
من ان
ان يمكن
يمكن من
من التعرف
التعرف علي
علي اي
اي شيء
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
من اي
اي وقت
وقت مضي
مضي يتساءل
يتساءل كيف
كيف المحجوزه
المحجوزه مدمره
مدمره جدا
جدا في
في المناقشه؟
المناقشه؟ هنا
هنا لماذا
سبب اخر
اخر لماذا
لماذا لا
لا استطيع
استطيع النوم
النوم في
اطلب اي
اي شيء؟
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
عند شخص
شخص يعطي
يعطي معلومات
معلومات انه
انه من
من المحتمل
المحتمل ان
ان مجرد
مجرد ايماءه
ايماءه الراس
الراس صفحتهصفحتها
صفحتهصفحتها ويذهب
ويذهب يبحث
يبحث عن
عن نفسه
عندما كنت
كنت انت
انت الغناء
الغناء كاريوكي
كاريوكي ث
ث اصدقائك
اصدقائك يقول
يقول جي
جي كنت
كنت فعل
فعل صعبه
صعبه لمتابعه
ما يسكن
يسكن وراء
وراء عيون
عيون كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 👀😎
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
صديق يكون
يكون مجرد
مجرد نفسك
نفسك ويقول
ويقول شيئا
شيئا لطيفا
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
انني واثق
واثق من
من ان
ان يمكن
يمكن من
من التعرف
التعرف علي
علي اي
اي شيء
لول كنت
كنت تحاول
تحاول ان
ان تجعلني
تجعلني اشعر
اشعر مره
مره اخري؟
اخري؟ وهذا
وهذا لطيف
اسئله متكرره
متكرره لماذا؟
لماذا؟ و
و ماذا
ماذا افعل
افعل هنا
هنا مره
مره اخري؟
ان 😍
من اي
اي وقت
وقت مضي
مضي يتساءل
يتساءل كيف
كيف المحجوزه
المحجوزه مدمره
مدمره جدا
جدا في
في المناقشه؟
المناقشه؟ هنا
هنا لماذا
تعلم من
من امس
امس يعيش
يعيش علي
علي الامل
الامل اليوم
اليوم للغد
للغد الشيء
الشيء المهم
المهم عدم
عدم وقف
وقف الاستجواب
الاستجواب البرت
البرت اينشتاين
اسئله متكرره
متكرره لماذا؟
لماذا؟ و
و ماذا
ماذا افعل
افعل هنا
هنا مره
مره اخري؟
انطوائي خربشات
خربشات دي
اﻻنطوائيه بديهيه
العلاقات ليست
ليست لي
لي شيء
شيء انا
انا جد
جد وانا
وانا احاول،
احاول، وانها
وانها ليست
ليست مجرد
مجرد ابدا
ابدا جيده
جيده بما
بما يكفي
اذا كنت
كنت تعرف
تعرف ثم
ثم انت
انت تعرف
تعرف ان
ان يفعل
يفعل عاده
عاده الاشياء
الاشياء دون
دون حتي
حتي تحقيق
تحقيق ذلك
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
بمعني الاخلاق
الاخلاق في
في كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😇👿
شخصيه المنطقي
المنطقي عن
عن طريق
خطط منطو
منطو في
في نهايه
نهايه الاسبوع
يجري يعني
يعني استمرار
استمرار الحاجه
الحاجه الي
الي الاعتذار
الاعتذار عن
عن شخصيتك
لي ردا
ردا جديا
جديا لاسئله
لاسئله خطيره
خطيره طلبت
طلبت من
من صديق
سر بدايه
بدايه كل
كل شيء
شيء غير
غير قابل
قابل للذوبان
للذوبان بالولايات
بالولايات المتحده؛
المتحده؛ وانا
وانا واحد
واحد يجب
يجب ان
ان يكون
يكون محتوي
محتوي تظل
تظل ملحد
ملحد تشارلز
تشارلز داروين
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
الاداره البريد
البريد الالكتروني
الالكتروني الخاص
الخاص بك
بك لم
لم يكن
يكن اي
اي معنيوانا
معنيوانا متاكد
متاكد من
من انها
انها غير
غير دقيقه
دقيقه من
من الناحيه
الناحيه التقنيه
التقنيه ولكن
ولكن انا
انا لا
لا يمكن
يمكن فك
فك تشفيرها
كراهيه الناس
اكتب اليكم
اليكم قصه
قصه حب
حب الخيال
الخيال العلمي
العلمي بين
بين ولا
ولا يثير
يثير الدهشه
الدهشه قصه
قصه في
في رؤوسهم
لا اتحدث
اتحدث بطيئه
بطيئه بالنسبه
بالنسبه لي
لي مثل
مثل ابن
ابن ابله،
ابله، والحصول
والحصول علي
علي بالاهانه
بالاهانه عندما
عندما ارد
ارد بسخريه
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
اود ان
ان اقول
اقول عندما
عندما يتعلق
يتعلق الامر
الامر بالالعاب
بالالعاب مثل
مثل الشطرنج
الشطرنج الاستراتيجيين
الاستراتيجيين في
في حين
حين التكتيكي
التكتيكي نقيه
اﻻنطوائيه بديهيه
شيء ان
ان يجد
يجد كل
كل نوع
نوع مايرزبريغز
مايرزبريغز ممله
ممله 😁😫
مشكله نسيان
نسيان ما
ما كنت
كنت ساقوله
ساقوله منتصف
منتصف الجمله
راتيونالس تزوير
تزوير المشاعر
المشاعر منذ
منذ الابد
لماذا في
في ونادرا
ونادرا ما
ما تذهب
تذهب الي
الي عالم
عالم السياسه
انت تعرف
تعرف انك
انك عندما
عندما يقول
يقول شخص
شخص ما
ما كنت
كنت تعتقد
تعتقد ان
ان من
من الصعب
الصعب جدا
جدا في
في كثير
كثير من
من الاحيان
روح الدعابه
الدعابه التي
التي 😂😏
😂😏 كل
كل مايرزبريغز
مايرزبريغز نوع
نوع يمتلك
لاصدقائي لا
لا اعتقد
اعتقد تماما
تماما ان
ان يجري
يجري منطو
منطو صادره
صادره من
من الممكن
الممكن 🙂
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
اﻻنطوائيه بديهيه
نظره عامه
عامه علي
الذي ياتي
ياتي مع
مع هذا؟
هذا؟ 😂😂😂
😂😂😂 كامل
كامل لي
لي في
في شكل
شكل رسوم
رسوم متحركه
اﻻنطوائيه بديهيه
السلوك النمطيه
النمطيه قائلا
قائلا ان
ان الامور
الامور مدعاه
مدعاه للسخط
للسخط فقط
فقط للحصول
للحصول علي
علي رد
رد فعل
ابدا تقول
تقول لا
لا او
او لا
لا يمكنك
يمكنك بالنسبه
بالنسبه لنا
لنا فقط
فقط يبدو
يبدو ان
ان تحدي
تحدي الذي
الذي نقول
نقول اقبل
شيء عميق
عميق يمكننا
يمكننا ان
ان نتعلم
نتعلم من
من كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😆🌟
الطرق التي
التي يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز الغيره
الغيره 😤😁
اسال اي
اي شيء؟
انت تعرف
تعرف انك
انك عندما
عندما تتنافس
تتنافس مع
مع شخص
شخص ليس
ليس لديه
لديه اي
اي فكره
فكره ان
ان وفي
وفي منافسه
المنعزلون الحقيقيه
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
اﻻنطوائيه بديهيه
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
لا تغضب
تغضب الاحباط
الاحباط عندما
عندما يساء
يساء فهمها
اذا كان
كان لا
لا تظهر
تظهر اي
اي مشاعر
مشاعر قويه
قويه علي
علي الارجح
الارجح تكون
تكون سيكون
سيكون الغضب
الغضب الغضب
الغضب المتفجره
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
الحقائق التي
التي يجب
يجب ان
ان يواجهها
يواجهها في
في وفي
والمشكله مع
مع بدء
بدء التعيينات
التعيينات يمكن
يمكن ابدا
ابدا الا
الا عندما
عندما يكون
يكون لدي
لدي كل
كل شيء
شيء ويمكن
ويمكن ابدا
ابدا ان
ان يكون
يكون كل
كل شيء
وظائف و
و الاجتماعيه
الاجتماعيه وسائل
وسائل الاعلام
انت تعرف
تعرف انك
انك عندما
عندما كنت
كنت لا
لا يعني
يعني كل
كل انسان
انسان حساس
حساس جدا
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
انا لا
لا فقط
فقط ابدا
ابدا تعلمت
تعلمت كيفيه
كيفيه وضع
وضع بلدي
بلدي العاب
العاب بعيدا
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
اريد ان
ان اذهب
اذهب الي
الي السرير
السرير انا
انا حقا
حقا لكن
لكن هناك
هناك اشياء
اشياء كثيره
كثيره جدا
جدا يمكن
يمكن ان
ان افعل
افعل قبل
قبل ذلك
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
لماذا المماطله
المماطله بيرسيفيرس
بيرسيفيرس بديهيه
التركيز علي
علي تحسين
تحسين وسوف
وسوف يتبع
يتبع النجاح
النجاح الحياه
الحياه قليلا
قليلا نصيحه
نصيحه من
من زميل
تعرف انت
انت عند
عند الاشخاص
الاشخاص الذين
الذين تعرفهم
تعرفهم يقولون
يقولون لك
لك لتصفيه
لتصفيه الكلمات
الكلمات الخاصه
الخاصه بك
بك باستمرار
عاده لا
لا تحصل
تحصل العاطفي
العاطفي ما
ما لم
لم يكن
يكن شيئا
شيئا يمس
يمس مباشره
مباشره لهم
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
اصدقاء عن
عن طريق
اود ان
ان اقول
اقول عندما
عندما يتعلق
يتعلق الامر
الامر بالالعاب
بالالعاب مثل
مثل الشطرنج
الشطرنج الاستراتيجيين
الاستراتيجيين في
في حين
حين التكتيكي
التكتيكي نقيه
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
حصلنا علي
علي هذا
هذا يو
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
كيف يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز العواطف
العواطف 😨😆
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
المنعزلون الحقيقيه
اﻻنطوائيه بديهيه
ث تلك
تلك ادني
ادني انت
انت تعمل
تعمل انكم
انكم لطيفه
لطيفه ولكن
ولكن داخل
داخل عمق
عمق التفكير
التفكير ابت
ابت سحق
سحق تلك
تلك الاراء
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
اكتب الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز حزينه
حزينه وكيف
وكيف يمكن
يمكن التغلب
التغلب علي
علي 😰😖
اعرف ان
ان اذا
اذا خسرت
خسرت ثقه
ثقه انك
انك قد
قد تحصل
تحصل عليه
عليه مره
مره اخري
اتمني ملابس
ملابس التجاعيد
التجاعيد كان
كان اكثر
اكثر قبولا
قبولا هذا
هذا كل
كل شيء
شيء تبحث
تبحث المظهر
المظهر وقتا
وقتا طويلا
طويلا جدا
من الصعب
الصعب في
في بعض
بعض الاحيان
الاحيان ان
ان ندرك
ندرك مدي
مدي تاثير
تاثير ارائهم
ارائهم فعلا
فعلا لهم
لهم لا
لا احد
احد من
من موضوعيه
موضوعيه تماما
شيء ان
ان يجد
يجد كل
كل نوع
نوع مايرزبريغز
مايرزبريغز ممله
ممله 😁😫
راتيونالس تزوير
تزوير المشاعر
المشاعر منذ
منذ الابد
طريقه كل
كل نوع
نوع مايرزبريغز
مايرزبريغز يشعر
يشعر حول
حول قراءه
قراءه 👓📖📚
تحاول ان
ان تشرح
تشرح للناس
للناس ان
ان يجري
يجري حاده
حاده قد
قد لا
لا علاقه
علاقه لها
لها بعزمكم
بعزمكم سيئه
سيئه تجاههم
تجاههم لك
لك هي
هي ستاتين
ستاتين فقط
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
من اصل
اصل مرات
اسوا شيء
شيء يمكن
يمكن ان
ان تفعله
تفعله جعل
جعل له
له يشعر
يشعر عاجزه
انت تعرف
تعرف انك
انك عندما
عندما كنت
كنت تقنع
تقنع نفسك
نفسك ان
ان كنت
كنت تريد
تريد الذهاب
الذهاب فعلا
فعلا لتنظيف
لتنظيف ان
ان الفوضي
الفوضي غدا
غدا ونقاط
ونقاط البيع
مهن عن
عن طريق
شيء ان
ان يجد
يجد كل
كل نوع
نوع مايرزبريغز
مايرزبريغز ممله
ممله 😁😫
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
العواطف؟ ليس
ليس لا
لا احد
احد حصلت
حصلت وقت
وقت لذلك
ليس لديك
لديك اي
اي فكره
فكره عن
عن كيفيه
كيفيه العديد
العديد من
من الحسابات
الحسابات العمليات
العمليات اثناء
اثناء تلك
تلك اللحظه
اللحظه طفيف
طفيف كان
كان يتردد
يتردد قبل
قبل القيام
القيام سميه
في المدرسه
لا تخبرني
تخبرني انه
انه يسير
يسير هنا
هنا للتحدث
للتحدث معي
معي رجاء
رجاء لا
لا تفعل
تفعل حماقه
اﻻنطوائيه بديهيه
كل يوم
يوم واحد
واحد 😂😧
عندما كنت
كنت انت
انت الغناء
الغناء كاريوكي
كاريوكي ث
ث اصدقائك
اصدقائك يقول
يقول جي
جي كنت
كنت فعل
فعل صعبه
صعبه لمتابعه
الطرق التي
التي يستجيب
يستجيب كل
كل نوع
نوع مايرزبريغز
مايرزبريغز للسلطه
للسلطه 😏👮
انت تعرف
تعرف انك
انك عندما
عندما يتضاعف
يتضاعف قائمه
قائمه الاشياء
الاشياء التي
التي كنت
كنت بدات
بدات الاشياء
الاشياء التي
التي يمكنك
يمكنك انهاء
شباب تعويذه
تعويذه هنا
الطرق التي
التي يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز الغيره
الغيره 😤😁
عقده التفوق
جميعا ولكن
ولكن و
و تنطبق
تنطبق بالنسبه
بالنسبه لي
لي منذ
منذ ان
ان كنت
كنت ابدا
ابدا الي
الي ايكيا
قاعده اينيرليفيرس
اينيرليفيرس ✊🏽
✊🏽 ح
مايرزبريغز اعجوبه
اعجوبه خارقه
خارقه احرف
احرف 😃😎
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
انا واثق
واثق من
من ان
ان يمكن
يمكن من
من التعرف
التعرف علي
علي اي
اي شيء
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
تعرف انت
انت عند
عند التفكير
التفكير في
في القيام
القيام بشيء
بشيء بكثير
بكثير ان
ان تكون
تكون راضيا
راضيا عن
عن عدم
عدم القيام
القيام بذلك
عاده لا
لا تحصل
تحصل العاطفي
العاطفي ما
ما لم
لم يكن
يكن شيئا
شيئا يمس
يمس مباشره
مباشره لهم
الاوضاع غير
غير مريحه
مريحه اكثر
اكثر لكل
لكل مايرزبريغز
مايرزبريغز اكتب
اكتب 😁😓
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
لماذا هي
هي غير
غير منظم
منظم في
روح الدعابه
الدعابه التي
التي 😂😏
😂😏 كل
كل مايرزبريغز
مايرزبريغز نوع
نوع يمتلك
لماذا المماطله
المماطله بيرسيفيرس
بيرسيفيرس بديهيه
مايرزبريغز انواع
انواع اذا
اذا كانت
كانت المخلوقات
المخلوقات الاسطوريه
الاسطوريه ☺️😇
لماذا المماطله
المماطله بيرسيفيرس
بيرسيفيرس بديهيه
لماذا المماطله
المماطله بيرسيفيرس
بيرسيفيرس بديهيه
لول كنت
كنت تحاول
تحاول ان
ان تجعلني
تجعلني اشعر
اشعر مره
مره اخري؟
اخري؟ وهذا
وهذا لطيف
هنا هو
هو صوره
صوره التي
التي تصور
تصور الاعمال
الاعمال الداخليه
الداخليه للعقل
للعقل متوسط
مشاكل نبدا
نبدا اليوم
اليوم مع
مع عدد
عدد قليل
قليل جدا
جدا من
من القطع
القطع النقديه
اسف شباب
شباب احصل
احصل الفلسفيه
الفلسفيه عندما
عندما يسيء
يسيء قلبي
انظر حتي
حتي الحزب
الحزب التركماني
التركماني الوطني
الوطني العراقي
العراقي كلا
كلا ونحن
ونحن نشاطر
نشاطر علاقه
علاقه كيندا
اريد ان
ان اذهب
اذهب الي
الي السرير
السرير انا
انا حقا
حقا لكن
لكن هناك
هناك اشياء
اشياء كثيره
كثيره جدا
جدا يمكن
يمكن ان
ان افعل
افعل قبل
قبل ذلك
انتهي علاقات
علاقات عن
عن طريق
لي ✨💗
في بعض
بعض الاحيان
الاحيان سوف
سوف اقول
اقول شيئا
شيئا فقط
فقط لنري
لنري كيف
كيف سيكون
سيكون رد
رد فعل
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
الحيوانات هي
هي اسهل
اسهل بكثير
بكثير للتحدث
للتحدث الي
الي ثو
اﻻنطوائيه بديهيه
يجلسون في
في غرفه
غرفه واحد
واحد يتكلف
يتكلف موافقه
موافقه بقيه
بقيه 😏
ابدا تقول
تقول لا
لا او
او لا
لا يمكنك
يمكنك بالنسبه
بالنسبه لنا
لنا فقط
فقط يبدو
يبدو ان
ان تحدي
تحدي الذي
الذي نقول
نقول اقبل
اذا توقف
توقف فجاه
فجاه تقشعر
تقشعر لها
لها اﻷبدان
اﻷبدان معك
معك ربما
ربما كنت
كنت قد
قد فعلت
فعلت شيئا
شيئا خاطئا
خاطئا وانه
وانه لا
لا ما
ما يكفي
يكفي من
من الرعايه
الرعايه الي
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
اﻻنطوائيه بديهيه
اﻻنطوائيه بديهيه
لا اتحدث
اتحدث بطيئه
بطيئه بالنسبه
بالنسبه لي
لي مثل
مثل ابن
ابن ابله،
ابله، والحصول
والحصول علي
علي بالاهانه
بالاهانه عندما
عندما ارد
ارد بسخريه
اريد ان
ان اذهب
اذهب الي
الي السرير
السرير انا
انا حقا
حقا لكن
لكن هناك
هناك اشياء
اشياء كثيره
كثيره جدا
جدا يمكن
يمكن ان
ان افعل
افعل قبل
قبل ذلك
وهذا هو
هو الصحيح
اﻻنطوائيه بديهيه
انت تعرف
تعرف انك
انك عندما
عندما كنت
كنت لا
لا يعني
يعني كل
كل انسان
انسان حساس
حساس جدا
اطلب اي
اي شيء؟
اذا كنت
كنت اسال
اسال عن
عن اجابه
اجابه صادقه
صادقه لمساله
لمساله حساسه
حساسه وامل
وامل كنت
كنت علي
علي استعداد
استعداد للاجابه
انها مثاليه
مثاليه 🌧⛈☔️
